Period,Total,Purpose_of_Construction_Built_for_Sale_Total,Purpose_of_Construction_Built_for_Sale_Fee_Simple,Purpose_of_Construction_Contractor_Built,Purpose_of_Construction_Owner_Built,Design_Type_Detached,Design_Type_Attached,Square_Feet_Floor_Area_Median,Square_Feet_Floor_Area_Average
1974Q1,178,117,,36,22,,,,
1974Q2,298,165,,69,61,,,,
1974Q3,244,122,,60,59,,,,
1974Q4,168,97,,40,31,,,,
1975Q1,142,91,,30,20,,,,
1975Q2,261,153,,54,52,,,,
1975Q3,268,150,,58,58,,,,
1975Q4,221,138,,48,33,,,,
1976Q1,219,147,,40,30,,,,
1976Q2,340,199,,74,64,,,,
1976Q3,334,189,,70,72,,,,
1976Q4,270,170,,57,42,,,,
1977Q1,269,184,,48,35,,,,
1977Q2,440,264,,95,78,,,,
1977Q3,410,247,,88,72,,,,
1977Q4,332,209,,66,54,,,,
1978Q1,258,178,,47,31,,,,
1978Q2,449,275,,92,79,,,,
1978Q3,404,242,,83,75,,,,
1978Q4,323,206,,66,46,,,,
1979Q1,227,156,,38,31,,,,
1979Q2,387,235,,67,76,,,,
1979Q3,343,203,,64,73,,,,
1979Q4,238,148,,44,42,,,,
1980Q1,151,102,,25,22,,,,
1980Q2,203,114,,41,47,,,,
1980Q3,273,170,,43,55,,,,
1980Q4,225,140,,40,40,,,,
1981Q1,167,112,,27,25,,,,
1981Q2,230,139,,38,50,,,,
1981Q3,185,104,,34,46,,,,
1981Q4,124,71,,23,28,,,,
1982Q1,114,77,,17,18,,,,
1982Q2,178,100,,33,43,,,,
1982Q3,187,113,,30,41,,,,
1982Q4,184,120,,29,31,,,,
1983Q1,203,145,,23,31,,,,
1983Q2,322,214,,46,56,,,,
1983Q3,308,192,,47,60,,,,
1983Q4,235,162,,35,32,,,,
1984Q1,237,172,,30,28,,,,
1984Q2,333,218,,49,55,,,,
1984Q3,280,177,,44,51,,,,
1984Q4,235,161,,35,32,,,,
1985Q1,215,153,139,31,24,180,36,,
1985Q2,318,208,185,51,52,271,47,,
1985Q3,295,193,169,51,46,250,44,,
1985Q4,244,160,140,44,35,207,37,,
1986Q1,234,170,156,32,27,199,36,,
1986Q2,369,244,219,62,54,318,51,,
1986Q3,325,201,176,63,54,281,45,,
1986Q4,251,168,152,47,32,217,33,,
1987Q1,241,170,157,38,29,214,27,,
1987Q2,346,219,197,62,57,303,44,,
1987Q3,321,193,171,64,56,279,43,,
1987Q4,237,150,135,45,35,210,28,,
1988Q1,220,159,150,34,23,198,22,,
1988Q2,324,205,188,59,51,289,35,,
1988Q3,293,181,166,59,48,262,31,,
1988Q4,245,164,152,44,32,220,25,,
1989Q1,213,154,147,33,23,193,20,,
1989Q2,302,189,176,58,48,272,30,,
1989Q3,272,169,160,56,42,252,20,,
1989Q4,217,136,129,45,32,201,16,,
1990Q1,217,148,144,37,28,201,16,,
1990Q2,271,158,152,59,48,254,17,,
1990Q3,233,131,124,58,41,218,15,,
1990Q4,174,98,92,43,28,160,14,,
1991Q1,147,92,87,33,19,136,10,,
1991Q2,254,147,141,59,45,240,15,,
1991Q3,240,135,130,60,42,227,12,,
1991Q4,200,118,113,47,30,188,12,,
1992Q1,219,145,139,42,28,206,13,,
1992Q2,296,173,164,67,52,277,19,,
1992Q3,276,159,149,64,49,256,20,,
1992Q4,239,145,135,52,37,219,19,,
1993Q1,213,142,136,42,26,196,17,,
1993Q2,324,204,193,62,52,299,25,,
1993Q3,309,192,177,64,48,282,27,,
1993Q4,279,181,170,55,38,256,24,,
1994Q1,253,176,168,46,26,233,19,,
1994Q2,354,221,207,75,54,324,30,,
1994Q3,326,199,186,71,50,298,28,,
1994Q4,266,170,158,52,36,236,29,,
1995Q1,214,149,141,37,25,197,17,,
1995Q2,297,195,183,54,37,268,29,,
1995Q3,308,198,182,59,42,278,31,,
1995Q4,257,177,165,46,27,229,28,,
1996Q1,240,175,166,40,21,221,19,,
1996Q2,344,229,215,70,39,314,30,,
1996Q3,324,210,196,63,44,293,31,,
1996Q4,252,171,157,46,30,227,25,,
1997Q1,238,175,166,36,22,219,19,,
1997Q2,325,220,205,56,40,295,29,,
1997Q3,315,215,196,55,38,285,30,,
1997Q4,257,178,165,42,29,232,25,,
1998Q1,258,195,185,36,23,236,22,,
1998Q2,360,249,234,60,43,330,30,,
1998Q3,348,229,211,67,43,315,33,,
1998Q4,305,214,201,49,33,276,29,,
1999Q1,287,212,201,42,26,262,25,2019.0,2210.0
1999Q2,367,249,234,63,44,332,35,2028.0,2250.0
1999Q3,347,243,228,57,40,316,32,2017.0,2226.0
1999Q4,301,210,195,49,31,266,36,2035.0,2268.0
2000Q1,278,207,195,41,23,252,26,2109.0,2328.0
2000Q2,357,245,230,58,42,322,36,2039.0,2275.0
2000Q3,320,223,208,54,36,289,32,2072.0,2309.0
2000Q4,275,199,185,44,25,243,32,2087.0,2324.0
2001Q1,274,211,200,33,23,247,27,2119.0,2325.0
2001Q2,374,267,251,54,44,339,35,2124.0,2328.0
2001Q3,341,241,224,53,36,300,41,2051.0,2282.0
2001Q4,285,204,191,45,28,250,35,2087.0,2298.0
2002Q1,293,220,206,41,25,260,33,2107.0,2321.0
2002Q2,386,282,263,57,40,344,42,2083.0,2282.0
2002Q3,361,262,239,56,34,318,42,2103.0,2333.0
2002Q4,319,237,218,44,28,277,41,2153.0,2345.0
2003Q1,304,234,220,41,21,272,32,2134.0,2348.0
2003Q2,406,304,285,55,38,360,46,2126.0,2340.0
2003Q3,412,306,281,58,37,356,56,2143.0,2334.0
2003Q4,377,280,257,53,31,324,53,2117.0,2357.0
2004Q1,345,269,249,41,25,303,42,2175.0,2365.0
2004Q2,456,346,319,57,42,398,58,2138.0,2370.0
2004Q3,440,338,306,57,34,382,58,2124.0,2375.0
2004Q4,370,289,260,44,28,316,53,2193.0,2421.0
2005Q1,369,303,277,38,22,325,44,2263.0,2482.0
2005Q2,485,386,353,52,39,418,67,2250.0,2444.0
2005Q3,471,366,333,59,39,412,58,2242.0,2458.0
2005Q4,392,308,282,47,30,340,52,2238.0,2471.0
2006Q1,382,313,292,38,24,333,49,2272.0,2501.0
2006Q2,433,332,309,53,37,378,54,2292.0,2490.0
2006Q3,372,276,255,55,33,320,53,2230.0,2468.0
2006Q4,278,205,189,41,24,236,42,2256.0,2523.0
2007Q1,260,202,187,33,20,226,33,2309.0,2528.0
2007Q2,333,246,229,45,32,288,45,2230.0,2507.0
2007Q3,265,190,176,41,29,229,36,2209.0,2494.0
2007Q4,188,127,117,31,23,158,30,2201.0,2539.0
2008Q1,162,116,110,23,16,137,25,2206.0,2510.0
2008Q2,194,129,121,33,26,172,22,2216.0,2533.0
2008Q3,163,102,94,31,22,140,23,2082.0,2372.0
2008Q4,103,64,59,20,13,88,15,2131.0,2413.0
2009Q1,78,53,50,15,9,71,8,2106.0,2381.0
2009Q2,124,82,77,23,15,112,12,2087.0,2380.0
2009Q3,138,93,87,26,16,126,13,2091.0,2341.0
2009Q4,105,70,67,21,10,93,11,2145.0,2400.0
2010Q1,114,86,81,16,9,102,12,2151.0,2362.0
2010Q2,142,92,86,27,17,125,17,2174.0,2399.0
2010Q3,119,74,70,24,17,105,14,2159.0,2385.0
2010Q4,96,58,54,18,11,83,12,2181.0,2408.0
2011Q1,90,66,62,12,8,80,9,2336.0,2523.0
2011Q2,123,83,79,22,14,113,11,2279.0,2531.0
2011Q3,118,78,73,21,15,106,12,2236.0,2484.0
2011Q4,100,63,59,21,10,87,13,2306.0,2532.0
2012Q1,105,77,73,17,9,96,10,2320.0,2546.0
2012Q2,151,105,98,24,13,134,18,2312.0,2494.0
2012Q3,150,103,97,22,14,129,21,2295.0,2487.0
2012Q4,129,90,86,20,10,111,18,2321.0,2572.0
2013Q1,136,107,101,16,9,121,15,2472.0,2689.0
2013Q2,174,131,123,26,13,155,19,2446.0,2646.0
2013Q3,165,120,113,27,12,148,17,2491.0,2701.0
2013Q4,142,104,98,22,10,126,17,2465.0,2656.0
2014Q1,134,103,98,18,9,120,14,2478.0,2727.0
2014Q2,183,129,122,32,16,164,19,2472.0,2651.0
2014Q3,178,124,117,31,16,157,20,2469.0,2647.0
2014Q4,154,106,103,29,11,134,20,2445.0,2677.0
2015Q1,140,112,109,18,7,126,14,2519.0,2736.0
2015Q2,205,152,146,30,15,181,24,2478.0,2704.0
2015Q3,203,147,142,33,14,177,27,2440.0,2649.0
2015Q4,166,118,113,28,13,145,21,2442.0,2674.0
2016Q1,170,131,128,24,8,148,22,2465.0,2658.0
2016Q2,218,159,155,33,14,189,29,2386.0,2620.0
2016Q3,206,150,145,34,15,184,22,2391.0,2593.0
2016Q4,187,138,133,29,12,163,24,2440.0,2652.0
2017Q1,181,144,140,22,9,158,23,2392.0,2628.0
2017Q2,238,180,175,32,18,212,25,2385.0,2618.0
2017Q3,230,168,162,33,18,203,27,2373.0,2576.0
2017Q4,200,148,142,29,11,171,29,2374.0,2573.0
2018Q1,195,158,154,21,10,171,24,2435.0,2639.0
2018Q2,257,194,188,34,16,220,37,2346.0,2551.0
2018Q3,238,171,165,37,16,204,33,2324.0,2495.0
2018Q4,186,138,134,27,11,160,26,2316.0,2576.0
2019Q1,189,153,148,20,9,167,22,2347.0,2577.0
2019Q2,242,181,177,34,14,211,31,2257.0,2468.0
2019Q3,243,176,172,39,17,211,32,2262.0,2465.0
2019Q4,214,162,156,31,13,189,25,2252.0,2509.0
2020Q1,214,173,169,23,9,191,23,2280.0,2497.0
2020Q2,217,159,155,32,15,192,26,2263.0,2457.0
2020Q3,281,216,209,35,18,251,30,2273.0,2479.0
2020Q4,277,221,214,33,11,243,35,2265.0,2473.0
2021Q1,255,211,204,26,10,224,31,2284.0,2516.0
2021Q2,309,244,232,37,17,267,42,2299.0,2540.0
2021Q3,296,223,215,39,17,262,34,2326.0,2530.0
2021Q4,266,201,192,34,15,227,40,2335.0,2565.0
2022Q1,267,206,196,32,14,230,36,2310.0,2515.0
2022Q2,303,229,223,38,15,265,38,2298.0,2496.0
2022Q3,242,166,159,42,18,204,37,2283.0,2512.0
2022Q4,193,131,124,33,12,157,37,2207.0,2468.0
2023Q1,188,138,131,24,11,159,29,2256.0,2464.0
2023Q2,261,191,179,33,16,222,39,2180.0,2405.0
2023Q3,260,193,184,35,15,217,43,2221.0,2430.0
